serialNum,search_url,url,name_eng,name,genres,length,year,imdb_score,downloads,producer,actors
44506,http://www.torec.net/movies_subs.asp?p=2,http://www.torec.net/sub.asp?sub_id=44506,Belle & Sebastian,בל וסבסטיאן,הרפתקאות;משפחה,104,2013,6.8,241,,
44504,http://www.torec.net/movies_subs.asp?p=2,http://www.torec.net/sub.asp?sub_id=44504,Knight Of Cups,אביר הגביעים,דרמה;רומנטיקה,118,2015,5.8,290,,
44154,http://www.torec.net/movies_subs.asp?p=8,http://www.torec.net/sub.asp?sub_id=44154,The Jungle Book,ספר הג'ונגל,דרמה;הרפתקאות;פנטזיה;ילדים,95,2016,8,"7,426",ג'ון פאברו,ביל מארי;סקרלט ג'והנסון;כריסטופר ווקן;בן קינגסלי;אידריס אלבה;אלן טראוטמן;שרה ארינגטון
44477,http://www.torec.net/movies_subs.asp?p=3,http://www.torec.net/sub.asp?sub_id=44477,My Big Fat Greek Wedding 2,החתונה היוונית שלי 2,קומדיה,94,2016,6.2,"1,958",קירק ג'ונס,ניה ורדלוס;מייקל קונסטנטין;ג'ון קורבט;לייני קאזאן;ג'ואי פאטון;ג'יין איסטווד;אנדרה מרטין
828,http://www.torec.net/movies_subs.asp?p=7,http://www.torec.net/sub.asp?sub_id=828,The Princess Bride,הנסיכה הקסומה,פנטזיה,98,1987,8.2,"7,720",רוב ריינר,קרי אלווס;רובין רייט;מנדי פטנקין
44029,http://www.torec.net/movies_subs.asp?p=9,http://www.torec.net/sub.asp?sub_id=44029,The Invitation,ההזמנה,אימה;מתח,100,2016,6.8,"1,258",,לוגאן מרשל-גרין
44057,http://www.torec.net/movies_subs.asp?p=9,http://www.torec.net/sub.asp?sub_id=44057,Backtrack,באק-טראק,דרמה;מיסתורין;מתח,90,2015,5.9,961,,אדריאן ברודי;סם ניל;רובין מק'ליבי;ברוס ספנס
44074,http://www.torec.net/movies_subs.asp?p=9,http://www.torec.net/sub.asp?sub_id=44074,The Trust,האמון,מתח;פשע,93,2016,5.5,"2,562",,ניקולס קייג';אלייג'ה ווד;איתן סופלי;ג'רי לואיס;סטיבן ויליאמס;סקיי פררה;קווין וייזמן
43894,http://www.torec.net/movies_subs.asp?p=9,http://www.torec.net/sub.asp?sub_id=43894,The Survivalist,השורד,דרמה;מדע בדיוני;מתח,104,2015,6.4,"1,738",סטיבן פינג'לנטון,מיה גוט;מרטין מק'קאן;אנדרו סימפסון
44070,http://www.torec.net/movies_subs.asp?p=9,http://www.torec.net/sub.asp?sub_id=44070,Daddys Home,גבר גבר,קומדיה,96,2015,6.2,"4,763",שון אנדרס,וויל פארל;מארק וולנברג;לינדה קרדליני;תומאס היידן צ'רץ;בובי קנאבלי
43714,http://www.torec.net/movies_subs.asp?p=15,http://www.torec.net/sub.asp?sub_id=43714,Remember,זכור,דרמה;מתח,95,2015,7.2,"1,399",,כריסטופר פלאמר;דין נוריס;מרטין לנדאו;נטלי קריל
43487,http://www.torec.net/movies_subs.asp?p=15,http://www.torec.net/sub.asp?sub_id=43487,In The Heart Of The Sea,בלב ים,דרמה;היסטוריה;הרפתקאות;פעולה,120,2015,7,"10,686",רון האוורד,קיליאן מרפי;ברנדן גליסון;ג'יימי סיבס;בן ווישאו;בנג'מין ווקר;גארי בייאידל;דונלד סאמפטר
43724,http://www.torec.net/movies_subs.asp?p=15,http://www.torec.net/sub.asp?sub_id=43724,The Dressmaker,המלבישה,דרמה,118,2015,7.4,"6,745",ג'וסלין מורהאוס,הוגו וייבינג;קייט ווינסלט;קרוליין גודאל;גו'די דיוויס;שיין בורן;גייטון גרנטלי;אליסון וויט
43529,http://www.torec.net/movies_subs.asp?p=17,http://www.torec.net/sub.asp?sub_id=43529,Solace,נחמה,דרמה;מיסתורין;מתח,101,2015,6.4,"5,849",,אנתוני הופקינס;ג'פרי דין מורגן;אבי קורניש;קולין פארל
43530,http://www.torec.net/movies_subs.asp?p=17,http://www.torec.net/sub.asp?sub_id=43530,Legend,אגדת האחים קריי,ביוגרפיה;מתח;פשע,131,2015,7.1,"7,825",בריאן הלגלנד,קולין מורגן;טארון אגרטון;פהיליף מיקלבוסט;ג'ונאט'ון נאל;צ'אז פאלמינטרי;מייל ראידו;דיוויד ת'ווליס
